subhalo_id,simulation,gas_mass,stellar_mass,gas_fraction,criteria_level
183,TNG100-1,541880000.0,1932890000.0,0.01303307333569039,0
184,TNG100-1,634460000.0,998790000.0,0.013608625989073805,0
187,TNG100-1,276770000.0,790750000.0000001,0.005821050594787408,0
191,TNG100-1,1106110000.0,572020000.0,0.025109474138224577,0
193,TNG100-1,1276880000.0,363900000.0,0.028901045922351407,0
196,TNG100-1,422060000.0,2190320000.0,0.012456283774012566,0
197,TNG100-1,479640000.0,1028070000.0,0.011678114127245768,0
198,TNG100-1,996530000.0,247220000.0,0.022624190922898444,0
204,TNG100-1,1243880000.0,1373880000.0,0.038554142180564854,0
207,TNG100-1,448000000.0,357270000.0,0.011066182191845114,0
211,TNG100-1,227170000.0,954550000.0,0.006215372492797478,0
213,TNG100-1,2790000.0,606510000.0,7.29949923865438e-05,0
226,TNG100-1,333839999.99999994,407640000.0,0.009553325377952147,0
233,TNG100-1,1950150000.0,178019999.99999997,0.06603581913672427,0
234,TNG100-1,1165760000.0,680650000.0,0.04103979497000591,0
249,TNG100-1,755900000.0,68030000.0,0.025778223386260707,0
250,TNG100-1,162719999.99999997,350130000.0,0.005504140282513394,0
257,TNG100-1,43470000.0,576840000.0,0.0015655556155799255,0
270,TNG100-1,1178540000.0,39100000.0,0.04653019326055629,0
279,TNG100-1,769669999.9999999,67680000.0,0.03080700939816519,0
